,Library_Occupancy,Students_Traveling,Students_In_Library,Students_In_Lecture,Students_Off_Campus
0,"{'Arts and Social Sciences': 0, 'Chemistry': 0, 'Education': 0, 'Medical': 0, 'Physics': 0, ""Queen's Building"": 0, 'Wills Memorial': 0, 'Beacon House': 0, 'Brambles and Hawthorns': 0, 'Grace Reeves': 0, 'Senate House': 0}",2780,0,0,1220
1,"{'Arts and Social Sciences': 617, 'Chemistry': 78, 'Education': 0, 'Medical': 86, 'Physics': 81, ""Queen's Building"": 168, 'Wills Memorial': 512, 'Beacon House': 424, 'Brambles and Hawthorns': 0, 'Grace Reeves': 0, 'Senate House': 407}",407,2373,0,1220
2,"{'Arts and Social Sciences': 617, 'Chemistry': 78, 'Education': 0, 'Medical': 86, 'Physics': 81, ""Queen's Building"": 168, 'Wills Memorial': 520, 'Beacon House': 425, 'Brambles and Hawthorns': 0, 'Grace Reeves': 0, 'Senate House': 637}",168,2612,0,1220
3,"{'Arts and Social Sciences': 720, 'Chemistry': 78, 'Education': 0, 'Medical': 90, 'Physics': 85, ""Queen's Building"": 168, 'Wills Memorial': 520, 'Beacon House': 425, 'Brambles and Hawthorns': 0, 'Grace Reeves': 0, 'Senate House': 637}",57,2723,0,1220
4,"{'Arts and Social Sciences': 612, 'Chemistry': 73, 'Education': 0, 'Medical': 79, 'Physics': 78, ""Queen's Building"": 145, 'Wills Memorial': 432, 'Beacon House': 370, 'Brambles and Hawthorns': 21, 'Grace Reeves': 28, 'Senate House': 552}",193,2390,356,1061
5,"{'Arts and Social Sciences': 613, 'Chemistry': 73, 'Education': 0, 'Medical': 79, 'Physics': 78, ""Queen's Building"": 145, 'Wills Memorial': 433, 'Beacon House': 370, 'Brambles and Hawthorns': 21, 'Grace Reeves': 28, 'Senate House': 552}",0,2392,547,1061
6,"{'Arts and Social Sciences': 613, 'Chemistry': 73, 'Education': 0, 'Medical': 79, 'Physics': 78, ""Queen's Building"": 145, 'Wills Memorial': 433, 'Beacon House': 370, 'Brambles and Hawthorns': 21, 'Grace Reeves': 28, 'Senate House': 552}",0,2392,547,1061
7,"{'Arts and Social Sciences': 613, 'Chemistry': 73, 'Education': 0, 'Medical': 79, 'Physics': 78, ""Queen's Building"": 145, 'Wills Memorial': 433, 'Beacon House': 370, 'Brambles and Hawthorns': 21, 'Grace Reeves': 28, 'Senate House': 552}",0,2392,547,1061
8,"{'Arts and Social Sciences': 600, 'Chemistry': 60, 'Education': 0, 'Medical': 79, 'Physics': 67, ""Queen's Building"": 139, 'Wills Memorial': 434, 'Beacon House': 373, 'Brambles and Hawthorns': 20, 'Grace Reeves': 28, 'Senate House': 519}",254,2319,502,925
9,"{'Arts and Social Sciences': 600, 'Chemistry': 60, 'Education': 0, 'Medical': 79, 'Physics': 68, ""Queen's Building"": 139, 'Wills Memorial': 434, 'Beacon House': 373, 'Brambles and Hawthorns': 20, 'Grace Reeves': 28, 'Senate House': 519}",0,2320,684,996
10,"{'Arts and Social Sciences': 600, 'Chemistry': 60, 'Education': 0, 'Medical': 79, 'Physics': 68, ""Queen's Building"": 139, 'Wills Memorial': 434, 'Beacon House': 373, 'Brambles and Hawthorns': 20, 'Grace Reeves': 28, 'Senate House': 519}",0,2320,684,996
11,"{'Arts and Social Sciences': 600, 'Chemistry': 60, 'Education': 0, 'Medical': 79, 'Physics': 68, ""Queen's Building"": 139, 'Wills Memorial': 434, 'Beacon House': 373, 'Brambles and Hawthorns': 20, 'Grace Reeves': 28, 'Senate House': 519}",0,2320,684,996
12,"{'Arts and Social Sciences': 592, 'Chemistry': 63, 'Education': 0, 'Medical': 83, 'Physics': 69, ""Queen's Building"": 152, 'Wills Memorial': 457, 'Beacon House': 382, 'Brambles and Hawthorns': 19, 'Grace Reeves': 23, 'Senate House': 487}",309,2327,501,863
13,"{'Arts and Social Sciences': 592, 'Chemistry': 63, 'Education': 0, 'Medical': 83, 'Physics': 69, ""Queen's Building"": 152, 'Wills Memorial': 457, 'Beacon House': 382, 'Brambles and Hawthorns': 19, 'Grace Reeves': 23, 'Senate House': 496}",0,2336,675,989
14,"{'Arts and Social Sciences': 592, 'Chemistry': 63, 'Education': 0, 'Medical': 83, 'Physics': 69, ""Queen's Building"": 152, 'Wills Memorial': 457, 'Beacon House': 382, 'Brambles and Hawthorns': 19, 'Grace Reeves': 23, 'Senate House': 496}",0,2336,675,989
15,"{'Arts and Social Sciences': 592, 'Chemistry': 63, 'Education': 0, 'Medical': 83, 'Physics': 69, ""Queen's Building"": 152, 'Wills Memorial': 457, 'Beacon House': 382, 'Brambles and Hawthorns': 19, 'Grace Reeves': 23, 'Senate House': 496}",0,2336,675,989
16,"{'Arts and Social Sciences': 583, 'Chemistry': 63, 'Education': 0, 'Medical': 73, 'Physics': 62, ""Queen's Building"": 152, 'Wills Memorial': 448, 'Beacon House': 372, 'Brambles and Hawthorns': 14, 'Grace Reeves': 22, 'Senate House': 473}",408,2262,482,848
17,"{'Arts and Social Sciences': 583, 'Chemistry': 63, 'Education': 0, 'Medical': 73, 'Physics': 62, ""Queen's Building"": 152, 'Wills Memorial': 448, 'Beacon House': 372, 'Brambles and Hawthorns': 14, 'Grace Reeves': 22, 'Senate House': 503}",0,2292,662,1046
18,"{'Arts and Social Sciences': 583, 'Chemistry': 63, 'Education': 0, 'Medical': 73, 'Physics': 62, ""Queen's Building"": 152, 'Wills Memorial': 448, 'Beacon House': 372, 'Brambles and Hawthorns': 14, 'Grace Reeves': 22, 'Senate House': 503}",0,2292,662,1046
19,"{'Arts and Social Sciences': 583, 'Chemistry': 63, 'Education': 0, 'Medical': 73, 'Physics': 62, ""Queen's Building"": 152, 'Wills Memorial': 448, 'Beacon House': 372, 'Brambles and Hawthorns': 14, 'Grace Reeves': 22, 'Senate House': 503}",0,2292,662,1046
20,"{'Arts and Social Sciences': 558, 'Chemistry': 59, 'Education': 0, 'Medical': 66, 'Physics': 56, ""Queen's Building"": 152, 'Wills Memorial': 450, 'Beacon House': 361, 'Brambles and Hawthorns': 10, 'Grace Reeves': 19, 'Senate House': 458}",398,2189,504,909
21,"{'Arts and Social Sciences': 559, 'Chemistry': 59, 'Education': 0, 'Medical': 66, 'Physics': 56, ""Queen's Building"": 152, 'Wills Memorial': 450, 'Beacon House': 361, 'Brambles and Hawthorns': 10, 'Grace Reeves': 19, 'Senate House': 491}",0,2223,692,1085
22,"{'Arts and Social Sciences': 559, 'Chemistry': 59, 'Education': 0, 'Medical': 66, 'Physics': 56, ""Queen's Building"": 152, 'Wills Memorial': 450, 'Beacon House': 361, 'Brambles and Hawthorns': 10, 'Grace Reeves': 19, 'Senate House': 491}",0,2223,692,1085
23,"{'Arts and Social Sciences': 559, 'Chemistry': 59, 'Education': 0, 'Medical': 66, 'Physics': 56, ""Queen's Building"": 152, 'Wills Memorial': 450, 'Beacon House': 361, 'Brambles and Hawthorns': 10, 'Grace Reeves': 19, 'Senate House': 491}",0,2223,692,1085
24,"{'Arts and Social Sciences': 544, 'Chemistry': 55, 'Education': 0, 'Medical': 65, 'Physics': 57, ""Queen's Building"": 152, 'Wills Memorial': 452, 'Beacon House': 364, 'Brambles and Hawthorns': 6, 'Grace Reeves': 14, 'Senate House': 452}",419,2161,499,921
25,"{'Arts and Social Sciences': 544, 'Chemistry': 55, 'Education': 0, 'Medical': 65, 'Physics': 57, ""Queen's Building"": 152, 'Wills Memorial': 452, 'Beacon House': 364, 'Brambles and Hawthorns': 6, 'Grace Reeves': 14, 'Senate House': 482}",0,2191,714,1095
26,"{'Arts and Social Sciences': 544, 'Chemistry': 55, 'Education': 0, 'Medical': 65, 'Physics': 57, ""Queen's Building"": 152, 'Wills Memorial': 452, 'Beacon House': 364, 'Brambles and Hawthorns': 6, 'Grace Reeves': 14, 'Senate House': 482}",0,2191,714,1095
27,"{'Arts and Social Sciences': 544, 'Chemistry': 55, 'Education': 0, 'Medical': 65, 'Physics': 57, ""Queen's Building"": 152, 'Wills Memorial': 452, 'Beacon House': 364, 'Brambles and Hawthorns': 6, 'Grace Reeves': 14, 'Senate House': 482}",0,2191,714,1095
28,"{'Arts and Social Sciences': 526, 'Chemistry': 52, 'Education': 0, 'Medical': 62, 'Physics': 55, ""Queen's Building"": 151, 'Wills Memorial': 435, 'Beacon House': 369, 'Brambles and Hawthorns': 4, 'Grace Reeves': 11, 'Senate House': 434}",408,2099,501,992
29,"{'Arts and Social Sciences': 526, 'Chemistry': 52, 'Education': 0, 'Medical': 62, 'Physics': 55, ""Queen's Building"": 151, 'Wills Memorial': 436, 'Beacon House': 369, 'Brambles and Hawthorns': 4, 'Grace Reeves': 11, 'Senate House': 466}",0,2132,649,1219
30,"{'Arts and Social Sciences': 526, 'Chemistry': 52, 'Education': 0, 'Medical': 62, 'Physics': 55, ""Queen's Building"": 151, 'Wills Memorial': 436, 'Beacon House': 369, 'Brambles and Hawthorns': 4, 'Grace Reeves': 11, 'Senate House': 466}",0,2132,649,1219
31,"{'Arts and Social Sciences': 526, 'Chemistry': 52, 'Education': 0, 'Medical': 62, 'Physics': 55, ""Queen's Building"": 151, 'Wills Memorial': 436, 'Beacon House': 369, 'Brambles and Hawthorns': 4, 'Grace Reeves': 11, 'Senate House': 466}",0,2132,649,1219
32,"{'Arts and Social Sciences': 498, 'Chemistry': 49, 'Education': 0, 'Medical': 55, 'Physics': 52, ""Queen's Building"": 154, 'Wills Memorial': 422, 'Beacon House': 369, 'Brambles and Hawthorns': 4, 'Grace Reeves': 6, 'Senate House': 446}",356,2055,508,1081
33,"{'Arts and Social Sciences': 499, 'Chemistry': 49, 'Education': 0, 'Medical': 55, 'Physics': 52, ""Queen's Building"": 154, 'Wills Memorial': 422, 'Beacon House': 369, 'Brambles and Hawthorns': 4, 'Grace Reeves': 6, 'Senate House': 470}",1,2080,685,1234
34,"{'Arts and Social Sciences': 499, 'Chemistry': 49, 'Education': 0, 'Medical': 55, 'Physics': 52, ""Queen's Building"": 154, 'Wills Memorial': 422, 'Beacon House': 369, 'Brambles and Hawthorns': 4, 'Grace Reeves': 6, 'Senate House': 471}",0,2081,685,1234
35,"{'Arts and Social Sciences': 499, 'Chemistry': 49, 'Education': 0, 'Medical': 55, 'Physics': 52, ""Queen's Building"": 154, 'Wills Memorial': 422, 'Beacon House': 369, 'Brambles and Hawthorns': 4, 'Grace Reeves': 6, 'Senate House': 471}",0,2081,685,1234
36,"{'Arts and Social Sciences': 496, 'Chemistry': 51, 'Education': 0, 'Medical': 45, 'Physics': 50, ""Queen's Building"": 152, 'Wills Memorial': 455, 'Beacon House': 365, 'Brambles and Hawthorns': 2, 'Grace Reeves': 2, 'Senate House': 438}",358,2056,485,1101
